rank,score,camera,captured_at,path,confidence,area_fraction,clipped,sharpness,visit_frames,visit_start,visit_end
1,0.701,wildlifecam11,2026-09-19T10:58:20.597009,wildlifecam11/2026-09-19/105820.jpg,0.910,0.0176,0,1226.0,3,2026-09-19T10:58:18.260501,2026-09-19T10:58:22.600751
2,0.609,wildlifecam11,2026-09-20T09:50:39.389716,wildlifecam11/2026-09-20/095039.jpg,0.872,0.0119,0,1369.1,53,2026-09-20T09:45:18.886593,2026-09-20T09:53:16.744158
3,0.609,wildlifecam11,2026-09-20T09:42:40.637505,wildlifecam11/2026-09-20/094240.jpg,0.892,0.0108,0,654.8,32,2026-09-20T09:35:07.757215,2026-09-20T09:43:20.700264
4,0.547,wildlifecam11,2026-09-19T18:10:50.993889,wildlifecam11/2026-09-19/181050.jpg,0.846,0.0087,0,1135.0,1,2026-09-19T18:10:50.993889,2026-09-19T18:10:50.993889
5,0.536,wildlifecam11,2026-09-20T09:28:18.817591,wildlifecam11/2026-09-20/092818.jpg,0.877,0.0073,0,525.1,2,2026-09-20T09:28:14.755629,2026-09-20T09:28:18.817591
6,0.528,wildlifecam11,2026-09-20T10:00:32.356683,wildlifecam11/2026-09-20/100032.jpg,0.880,0.0065,0,545.5,1,2026-09-20T10:00:32.356683,2026-09-20T10:00:32.356683
7,0.513,wildlifecam11,2026-09-20T09:57:12.188432,wildlifecam11/2026-09-20/095712.jpg,0.904,0.0052,0,766.5,5,2026-09-20T09:57:12.188432,2026-09-20T09:58:22.931916
8,0.498,wildlifecam11,2026-09-20T09:29:31.190575,wildlifecam11/2026-09-20/092931.jpg,0.833,0.0064,0,560.3,6,2026-09-20T09:29:19.060262,2026-09-20T09:29:33.241212
9,0.496,wildlifecam11,2026-09-19T15:08:18.728687,wildlifecam11/2026-09-19/150818.jpg,0.874,0.0052,0,670.0,1,2026-09-19T15:08:18.728687,2026-09-19T15:08:18.728687
10,0.491,wildlifecam11,2026-09-20T09:33:49.078142,wildlifecam11/2026-09-20/093349.jpg,0.821,0.0064,0,913.4,5,2026-09-20T09:33:36.702312,2026-09-20T09:34:00.778906
11,0.478,wildlifecam11,2026-09-19T15:10:23.478199,wildlifecam11/2026-09-19/151023.jpg,0.872,0.0045,0,531.2,1,2026-09-19T15:10:23.478199,2026-09-19T15:10:23.478199
12,0.421,wildlifecam11,2026-09-19T12:18:48.424203,wildlifecam11/2026-09-19/121848.jpg,0.862,0.0065,0,431.2,2,2026-09-19T12:18:45.044630,2026-09-19T12:18:48.424203
13,0.418,wildlifecam11,2026-09-19T12:37:28.824938,wildlifecam11/2026-09-19/123728.jpg,0.863,0.0031,0,515.4,4,2026-09-19T12:37:06.344771,2026-09-19T12:37:33.351847
14,0.399,wildlifecam11,2026-09-20T09:54:34.134902,wildlifecam11/2026-09-20/095434.jpg,0.828,0.0027,0,617.3,1,2026-09-20T09:54:34.134902,2026-09-20T09:54:34.134902
15,0.397,wildlifecam11,2026-09-19T12:45:03.544175,wildlifecam11/2026-09-19/124503.jpg,0.896,0.0057,0,404.3,1,2026-09-19T12:45:03.544175,2026-09-19T12:45:03.544175
16,0.315,wildlifecam11,2026-09-20T09:16:28.932941,wildlifecam11/2026-09-20/091628.jpg,0.815,0.0044,0,377.0,2,2026-09-20T09:16:26.841235,2026-09-20T09:16:28.932941
17,0.240,wildlifecam11,2026-09-19T11:01:15.853665,wildlifecam11/2026-09-19/110115.jpg,0.855,0.0206,1,1079.3,1,2026-09-19T11:01:15.853665,2026-09-19T11:01:15.853665
